F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.86, GyroX:0.72, GyroY:0.76, GyroZ:-0.10
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.86, GyroX:0.30, GyroY:0.50, GyroZ:-0.24
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:0.17, GyroY:0.26, GyroZ:-0.51
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:0.34, GyroY:-0.05, GyroZ:-0.57
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.85, GyroX:0.71, GyroY:0.32, GyroZ:-0.45
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.85, GyroX:1.05, GyroY:1.11, GyroZ:-0.51
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:0.51, GyroY:1.71, GyroZ:-0.51
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.11, AccZ:0.85, GyroX:0.59, GyroY:1.68, GyroZ:-0.66
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.87, GyroX:0.34, GyroY:0.76, GyroZ:-0.51
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.35, AccY:0.09, AccZ:0.87, GyroX:0.10, GyroY:0.33, GyroZ:-0.39
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.35, AccY:0.09, AccZ:0.86, GyroX:1.03, GyroY:-1.62, GyroZ:-0.98
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.38, AccY:0.10, AccZ:0.85, GyroX:1.18, GyroY:1.13, GyroZ:-0.97
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.35, AccY:0.09, AccZ:0.84, GyroX:1.18, GyroY:0.17, GyroZ:-0.77
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.39, AccY:0.11, AccZ:0.86, GyroX:2.82, GyroY:0.38, GyroZ:-1.50
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.11, AccZ:0.85, GyroX:1.49, GyroY:0.87, GyroZ:-0.69
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.11, AccZ:0.85, GyroX:1.23, GyroY:0.11, GyroZ:-0.63
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.38, AccY:0.11, AccZ:0.86, GyroX:1.35, GyroY:1.92, GyroZ:-0.42
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.84, GyroX:0.98, GyroY:1.57, GyroZ:-0.05
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.86, GyroX:1.75, GyroY:1.46, GyroZ:-0.16
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.87, GyroX:0.97, GyroY:1.85, GyroZ:-0.24
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.87, GyroX:1.11, GyroY:0.38, GyroZ:-0.27
