F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.83, AccY:0.58, AccZ:0.29, GyroX:12.10, GyroY:-10.49, GyroZ:-47.00
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.85, AccY:0.62, AccZ:0.26, GyroX:8.97, GyroY:-3.21, GyroZ:-38.59
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.83, AccY:0.63, AccZ:0.32, GyroX:2.97, GyroY:-1.97, GyroZ:-28.54
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.79, AccY:0.59, AccZ:0.37, GyroX:-1.37, GyroY:-5.22, GyroZ:-17.24
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.79, AccY:0.60, AccZ:0.35, GyroX:-5.98, GyroY:-14.41, GyroZ:-10.62
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.83, AccY:0.57, AccZ:0.31, GyroX:-10.50, GyroY:-15.89, GyroZ:-5.05
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.85, AccY:0.54, AccZ:0.25, GyroX:-11.08, GyroY:-14.26, GyroZ:-1.56
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.85, AccY:0.54, AccZ:0.24, GyroX:-11.03, GyroY:-7.91, GyroZ:5.14
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.83, AccY:0.49, AccZ:0.26, GyroX:-9.63, GyroY:-4.52, GyroZ:6.65
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.84, AccY:0.39, AccZ:0.54, GyroX:-12.16, GyroY:52.64, GyroZ:-21.79
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.78, AccY:0.37, AccZ:0.59, GyroX:-14.41, GyroY:49.45, GyroZ:-21.55
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.72, AccY:0.35, AccZ:0.61, GyroX:-11.03, GyroY:40.58, GyroZ:-26.08
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.70, AccY:0.38, AccZ:0.52, GyroX:-4.56, GyroY:33.46, GyroZ:-33.21
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.69, AccY:0.42, AccZ:0.42, GyroX:1.72, GyroY:34.50, GyroZ:-39.09
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.75, AccY:0.51, AccZ:0.40, GyroX:5.70, GyroY:42.85, GyroZ:-36.76
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.75, AccY:0.51, AccZ:0.44, GyroX:1.99, GyroY:51.43, GyroZ:-29.26
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.70, AccY:0.52, AccZ:0.56, GyroX:-4.77, GyroY:51.71, GyroZ:-21.96
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.66, AccY:0.48, AccZ:0.61, GyroX:-9.61, GyroY:45.19, GyroZ:-17.17
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.70, AccY:0.47, AccZ:0.61, GyroX:-6.59, GyroY:37.88, GyroZ:-16.66
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.74, AccY:0.52, AccZ:0.57, GyroX:-8.56, GyroY:35.33, GyroZ:-14.68
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.78, AccY:0.50, AccZ:0.58, GyroX:-12.13, GyroY:32.72, GyroZ:-8.85
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.80, AccY:0.49, AccZ:0.65, GyroX:-14.07, GyroY:29.85, GyroZ:-2.53
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.82, AccY:0.46, AccZ:0.62, GyroX:-13.24, GyroY:30.26, GyroZ:-4.95
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.78, AccY:0.43, AccZ:0.64, GyroX:-8.33, GyroY:28.20, GyroZ:-9.69
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.78, AccY:0.47, AccZ:0.64, GyroX:-2.70, GyroY:26.73, GyroZ:-9.98
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.83, AccY:0.54, AccZ:0.64, GyroX:-3.53, GyroY:25.72, GyroZ:-6.04
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.77, AccY:0.50, AccZ:0.68, GyroX:-5.18, GyroY:24.65, GyroZ:-4.59
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.74, AccY:0.49, AccZ:0.71, GyroX:-8.63, GyroY:18.47, GyroZ:-1.37
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.72, AccY:0.47, AccZ:0.69, GyroX:-9.43, GyroY:12.99, GyroZ:0.50
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.70, AccY:0.44, AccZ:0.70, GyroX:-5.69, GyroY:8.88, GyroZ:0.39
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.69, AccY:0.44, AccZ:0.70, GyroX:-3.63, GyroY:6.81, GyroZ:1.28
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.68, AccY:0.43, AccZ:0.69, GyroX:-5.03, GyroY:4.53, GyroZ:1.64
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.66, AccY:0.41, AccZ:0.67, GyroX:-4.12, GyroY:1.16, GyroZ:1.34
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.65, AccY:0.40, AccZ:0.62, GyroX:-3.20, GyroY:0.24, GyroZ:-0.07
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.63, AccY:0.39, AccZ:0.62, GyroX:-0.99, GyroY:0.20, GyroZ:-0.16
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.62, AccY:0.38, AccZ:0.60, GyroX:-0.13, GyroY:0.78, GyroZ:-0.34
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.60, AccY:0.37, AccZ:0.61, GyroX:-0.15, GyroY:1.19, GyroZ:-0.48
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.60, AccY:0.38, AccZ:0.60, GyroX:-0.01, GyroY:1.66, GyroZ:-0.56
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.60, AccY:0.38, AccZ:0.58, GyroX:0.19, GyroY:1.72, GyroZ:-0.21
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.59, AccY:0.38, AccZ:0.57, GyroX:-1.46, GyroY:2.38, GyroZ:0.42
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.60, AccY:0.37, AccZ:0.58, GyroX:-1.49, GyroY:2.29, GyroZ:0.28
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.62, AccY:0.37, AccZ:0.59, GyroX:-2.08, GyroY:2.61, GyroZ:-0.16
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.63, AccY:0.37, AccZ:0.60, GyroX:-1.83, GyroY:3.30, GyroZ:-0.88
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.64, AccY:0.37, AccZ:0.62, GyroX:0.92, GyroY:4.21, GyroZ:-1.96
