F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.07, AccY:-0.05, AccZ:0.90, GyroX:-10.33, GyroY:6.18, GyroZ:2.31
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.07, AccY:-0.03, AccZ:0.88, GyroX:-15.72, GyroY:5.94, GyroZ:4.11
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.07, AccY:-0.04, AccZ:0.91, GyroX:-20.47, GyroY:6.87, GyroZ:7.17
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.08, AccY:-0.10, AccZ:0.91, GyroX:-22.50, GyroY:8.61, GyroZ:9.08
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.08, AccY:-0.17, AccZ:0.90, GyroX:-18.79, GyroY:11.77, GyroZ:7.89
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.08, AccY:-0.14, AccZ:0.92, GyroX:-10.95, GyroY:17.60, GyroZ:5.53
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.09, AccY:-0.08, AccZ:0.97, GyroX:-2.05, GyroY:21.20, GyroZ:5.23
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.07, AccY:-0.06, AccZ:0.95, GyroX:2.22, GyroY:23.51, GyroZ:4.50
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.07, AccY:-0.04, AccZ:0.90, GyroX:4.43, GyroY:26.27, GyroZ:3.89
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.09, AccY:-0.02, AccZ:0.91, GyroX:2.60, GyroY:27.60, GyroZ:4.19
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.10, AccY:-0.03, AccZ:0.91, GyroX:0.56, GyroY:26.76, GyroZ:3.98
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.10, AccY:-0.03, AccZ:0.91, GyroX:-0.47, GyroY:24.69, GyroZ:3.09
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.13, AccY:-0.04, AccZ:0.90, GyroX:-1.81, GyroY:22.24, GyroZ:2.08
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.12, AccY:-0.05, AccZ:0.89, GyroX:-2.82, GyroY:19.36, GyroZ:2.11
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.13, AccY:-0.05, AccZ:0.89, GyroX:-3.14, GyroY:16.26, GyroZ:1.57
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.15, AccY:-0.06, AccZ:0.86, GyroX:-4.31, GyroY:13.33, GyroZ:1.64
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.15, AccY:-0.06, AccZ:0.86, GyroX:-7.52, GyroY:10.14, GyroZ:2.02
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.15, AccY:-0.06, AccZ:0.88, GyroX:-8.62, GyroY:9.65, GyroZ:2.21
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.16, AccY:-0.08, AccZ:0.88, GyroX:-10.12, GyroY:7.98, GyroZ:2.79
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.16, AccY:-0.11, AccZ:0.89, GyroX:-9.84, GyroY:6.47, GyroZ:2.85
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.15, AccY:-0.11, AccZ:0.95, GyroX:-9.02, GyroY:3.60, GyroZ:2.53
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.15, AccY:-0.11, AccZ:0.91, GyroX:-4.13, GyroY:-0.90, GyroZ:1.00
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.16, AccY:-0.12, AccZ:0.91, GyroX:1.26, GyroY:-8.14, GyroZ:-0.94
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.23, AccY:-0.08, AccZ:0.89, GyroX:-0.82, GyroY:10.14, GyroZ:0.19
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.23, AccY:-0.08, AccZ:0.86, GyroX:-2.13, GyroY:9.17, GyroZ:0.69
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.21, AccY:-0.08, AccZ:0.86, GyroX:-3.50, GyroY:14.12, GyroZ:0.56
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.24, AccY:-0.08, AccZ:0.89, GyroX:-2.15, GyroY:18.15, GyroZ:0.60
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.23, AccY:-0.09, AccZ:0.88, GyroX:-0.79, GyroY:20.59, GyroZ:0.37
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.22, AccY:-0.21, AccZ:0.75, GyroX:5.03, GyroY:27.94, GyroZ:-3.92
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.23, AccY:-0.08, AccZ:0.90, GyroX:3.58, GyroY:19.46, GyroZ:-0.16
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.23, AccY:-0.12, AccZ:1.16, GyroX:1.95, GyroY:18.33, GyroZ:-0.13
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.24, AccY:-0.07, AccZ:0.86, GyroX:3.72, GyroY:26.11, GyroZ:-1.47
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.25, AccY:-0.07, AccZ:0.88, GyroX:3.24, GyroY:29.30, GyroZ:-1.60
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.27, AccY:-0.06, AccZ:0.85, GyroX:2.72, GyroY:38.36, GyroZ:-2.18
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.28, AccY:-0.04, AccZ:0.79, GyroX:1.14, GyroY:50.00, GyroZ:-1.84
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.29, AccY:-0.04, AccZ:0.85, GyroX:-1.23, GyroY:55.46, GyroZ:-0.40
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.31, AccY:-0.08, AccZ:0.86, GyroX:-0.22, GyroY:62.09, GyroZ:-1.81
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.31, AccY:-0.08, AccZ:0.84, GyroX:-3.29, GyroY:58.07, GyroZ:-0.36
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.32, AccY:-0.15, AccZ:0.76, GyroX:-2.94, GyroY:50.59, GyroZ:-0.86
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.33, AccY:-0.15, AccZ:0.77, GyroX:1.43, GyroY:32.67, GyroZ:0.36
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.38, AccY:-0.18, AccZ:0.64, GyroX:6.79, GyroY:9.20, GyroZ:-3.15
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.40, AccY:-0.06, AccZ:0.54, GyroX:-5.37, GyroY:-38.64, GyroZ:-13.60
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.35, AccY:0.20, AccZ:0.37, GyroX:-53.43, GyroY:-130.84, GyroZ:-30.34
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.26, AccY:0.41, AccZ:0.18, GyroX:-122.21, GyroY:-269.47, GyroZ:-68.56
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.69, AccY:1.00, AccZ:0.39, GyroX:-233.40, GyroY:-499.48, GyroZ:-128.66
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-2.00, AccY:0.67, AccZ:0.03, GyroX:-182.83, GyroY:-499.48, GyroZ:-203.60
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:2.00, AccY:-2.00, AccZ:2.00, GyroX:502.60, GyroY:-499.48, GyroZ:-227.43
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-2.00, AccY:2.00, AccZ:-2.00, GyroX:-266.91, GyroY:-222.35, GyroZ:147.98
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.66, AccY:-0.08, AccZ:-0.73, GyroX:-379.58, GyroY:-101.10, GyroZ:35.26
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.81, AccY:0.14, AccZ:-0.69, GyroX:-23.92, GyroY:5.25, GyroZ:-14.22
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:1.03, AccY:-1.15, AccZ:0.93, GyroX:86.86, GyroY:78.21, GyroZ:-11.96
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.43, AccY:-0.55, AccZ:0.89, GyroX:91.47, GyroY:12.14, GyroZ:25.14
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.48, AccY:-0.22, AccZ:0.72, GyroX:78.01, GyroY:26.69, GyroZ:24.54
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.38, AccY:-0.02, AccZ:1.06, GyroX:3.66, GyroY:33.75, GyroZ:15.81
